id,name,address.street,address.city,address.zipCode,address.county,lat,long,match_address,match_name,DAY1_OPEN,DAY1_CLOSE,DAY2_OPEN,DAY2_CLOSE,DAY3_OPEN,DAY3_CLOSE,DAY4_OPEN,DAY4_CLOSE,DAY5_OPEN,DAY5_CLOSE,DAY6_OPEN,DAY6_CLOSE,DAY0_OPEN,DAY0_CLOSE
7844,TARGET STORE T-1244,356 12TH ST SW,Forest Lake,55025,Washington,45.274641,-93.0007,"356 12th St SW, Forest Lake, MN 55025, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
7851,TARGET STORE T-1272,1685 17TH AVE E,Shakopee,55379,Scott,44.7757987,-93.5013732,"1685 17th Ave E, Shakopee, MN 55379, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
8168,Target Store T-1303,215 Balsam St N,Cambridge,55008,Isanti,45.5747235,-93.2007657,"215 Balsam St N, Cambridge, MN 55008, United States",Target,800,2100,800,2100,800,2100,800,2100,800,2100,800,2100,800,2100
634,Target Store T-1351,3827 MARKETPLACE DR NW,Rochester,55901,Olmsted,44.062985,-92.5028934,"3827 Marketplace Dr NW, Rochester, MN 55901, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
654,Target Store T-1352,111 Pioneer Trl,Chaska,55318,Carver,44.8273426,-93.601213,"111 Pioneer Trail, Chaska, MN 55318, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
655,Target Store T-1356,4848 County Rd 101,Minnetonka,55345,Hennepin,44.9167059,-93.5054402,"4848 County Rd 101, Minnetonka, MN 55345, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
7848,TARGET STORE T-1375,900 NICOLLET MALL,Minneapolis,55403,Hennepin,44.974873,-93.274677,"900 Nicollet Mall, Minneapolis, MN 55403, United States",Target,900,2100,700,2100,700,2100,700,2100,700,2100,700,2100,800,2100
764,TARGET STORE T-1448,749 Apollo Dr,Lino Lakes,55014,Anoka,45.1846351,-93.1048965,"749 Apollo Dr, Lino Lakes, MN 55014, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
765,Target Store T-1456,21615 S Diamond Lake Rd,Rogers,55374,Hennepin,45.1971042,-93.5540598,"21615 S Diamond Lake Rd, Rogers, MN 55374, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
795,Target Store T-1484,18275 Kenrick Ave,Lakeville,55044,Dakota,44.6844042,-93.2913958,"18275 Kenrick Ave, Lakeville, MN 55044, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
1193,Target Store T-1831,11990 Business Park Blvd N,Champlin,55316,Hennepin,45.1726761,-93.3877869,"11990 Business Park Blvd N, Champlin, MN 55316, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
1192,TARGET STORE T-1832,1500 109th Ave NE,Blaine,55449,Anoka,45.1651076,-93.2328036,"1500 109th Ave NE, Blaine, MN 55449, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
1187,Target Store T-1833,14333 HWY 13,Savage,55378,Scott,44.7435888,-93.3771735,"14333 State Hwy 13, Savage, MN 55378, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
8904,Target Store T-2046,1750 Robert St S,West Saint Paul,55118,Dakota,44.8933333,-93.0780556,"1750 S Robert St, West St Paul, MN 55118, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
1495,Target Store T-2101,1515 W County Rd B,Roseville,55113,Ramsey,45.0076441,-93.1636574,"1515 County B Rd W, Roseville, MN 55113, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
7842,TARGET STORE T-2135,7900 32ND ST N,Oakdale,55128,Washington,44.9965199,-92.9452123,"7900 32nd St N, Oakdale, MN 55128, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
1688,Target Store T-2180,1447 E 7th St,Monticello,55362,Wright,45.2940331,-93.7728163,"1447 E 7th St, Monticello, MN 55362, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
1618,Target Store T-2189,8900 Hwy 7,Saint Louis Park,55426,Hennepin,44.935958,-93.392666,"8900 MN-7, Minneapolis, MN 55426, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
